,assessment_date,county,sub-county,location_type,households_in_location,households_departed,departure_date,1st_reason_for_departure,2nd_reason_for_departure,3rd_reason_for_departure,households_pastoralism_drop,pastoralism_drop_date,1st_reason_to_drop,2nd_reason_to_drop,3rd_reason_to_drop,households_arrived,arrival_date,country_arrived_from,sub-county_arrived_from,1st_reason_for_departure_from_origin,2nd_reason_for_departure_from_origin,3rd_reason_for_departure_from_origin,households_returned,country_returned_from,sub-county_returned_from,1st_reason_for_returning,2nd_reason_for_returning,livelihood_1,households_livelihood_1,livelihood_2,households_livelihood_2,livelihood_3,households_livelihood_3,1st_challenge,2nd_challenge,3rd_challenge,1st_health_concern,2nd_health_concern,3rd_health_concern,functional_watersources,watersource_distance,water_queue_time,percent_drinkingwater_access,percent_cookingwater_access,educational_facility,students,school_dropouts,safety_concerns
684,2022-09-08,Garissa,Balambala,Village,280,0,Other,Other,Other,Other,128,2020 To 2022,Drought,Resource-Based Conflict,Other,350,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,150,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
685,2022-09-08,Garissa,Balambala,Village,190,11,2020 To 2022,Drought,Resource-Based Conflict,Other,80,2020 To 2022,Drought,Resource-Based Conflict,Other,390,2020 To 2022,Kenya,Bura,Drought,Resource-Based Conflict,Other,110,Kenya,Bura,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
686,2022-09-08,Garissa,Balambala,Village,9550,0,Other,Other,Other,Other,3460,2020 To 2022,Drought,Resource-Based Conflict,Other,1200,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,280,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
687,2022-09-09,Garissa,Garissa Township,Town In Urban,408,0,Other,Other,Other,Other,346,2020 To 2022,Drought,Drought,Other,0,Other,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,100,Trade,10,Employment (Includes Public And Private Sectors),10,Lack Of Food And Water,Loss Of Livelihood,Lack Of Access To Essential Services,Malaria,Typhoid,Measles,1,50,50,100,100,Yes,165,20,Lack Of Basic Services Water Electricity Etc
688,2022-09-09,Garissa,Lagdera,Village,100,20,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Drought,Resource-Based Conflict,Other,5,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,40,Kenya,Lagdera,Drought,Resource-Based Conflict,Pastoralism,300,Trade,50,Farming,30,Lack Of Food And Water,Environmental Challenges,Loss Of Livelihood,Malaria,Typhoid,Diarrhea,1,38,38,50,75,Yes,400,50,Lack Of Basic Services Water Electricity Etc
689,2022-09-09,Garissa,Lagdera,Village,90,10,2020 To 2022,Drought,Resource-Based Conflict,Other,30,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Other,5,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,20,Kenya,Fafi,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
690,2022-09-08,Garissa,Fafi,Village,600,300,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,300,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,250,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,150,Kenya,Lagdera,Drought,Resource-Based Conflict,Pastoralism,500,Farming,50,Employment (Includes Public And Private Sectors),80,Safety And Security,No Additional Challenge,No Additional Challenge,Pneumonia,No Additional Challenge,No Additional Challenge,3,38,10,25,25,Yes,1800,200,Lack Of Security
691,2022-09-09,Garissa,Dadaab,Village,210,20,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,80,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,30,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,40,Kenya,Wajir/South,Drought,Flash Floods Or Seasonal Floods,Pastoralism,821,Other,465,Trade,112,Environmental Challenges,Loss Of Livelihood,Lack Of Food And Water,Malaria,Diarrhea,Typhoid,2,50,38,75,75,Yes,750,25,Lack Of Basic Services Water Electricity Etc
692,2022-09-09,Garissa,Dadaab,Village,200,30,2020 To 2022,Drought,Resource-Based Conflict,Other,120,2020 To 2022,Drought,Other,Resource-Based Conflict,50,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Trade,3318,Other,3318,Pastoralism,3318,Environmental Challenges,Safety And Security,Resource Based Conflict,Malaria,Pneumonia,Diarrhea,1,50,50,25,25,Yes,30,320,Weather
693,2022-09-09,Garissa,Dadaab,Village,280,35,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Drought,Resource-Based Conflict,Other,80,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,75,Kenya,Wajir/South,Drought,Resource-Based Conflict,Pastoralism,487,Trade,28,Employment (Includes Public And Private Sectors),15,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Diarrhea,Malaria,No Additional Challenge,3,38,38,75,75,Yes,19,0,Lack Of Basic Services Water Electricity Etc
694,2022-09-07,Garissa,Fafi,Village,140,16,2020 To 2022,Drought,Resource-Based Conflict,Other,15,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Kenya,Wajir/South,Drought,Resource-Based Conflict,Other,20,Kenya,Fafi,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
695,2022-09-05,Garissa,Garissa Township,Village,370,0,Other,Other,Other,Other,160,2020 To 2022,Drought,Resource-Based Conflict,Drought,50,2020 To 2022,Kenya,Balambala,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
696,2022-09-07,Garissa,Balambala,Village,300,9,2020 To 2022,Drought,Resource-Based Conflict,Other,150,2020 To 2022,Drought,Resource-Based Conflict,Other,850,2020 To 2022,Other,Other,Other,Other,Other,95,Other,Other,Other,Other,Pastoralism,400,Trade,64,Other,400,Lack Of Food And Water,Loss Of Livelihood,No Additional Challenge,Malaria,Pneumonia,Diarrhea,0,50,50,50,50,Yes,250,10,Lack Of Privacy
697,2022-09-09,Garissa,Ijara,Village,200,40,2020 To 2022,Drought,Other,Other,30,2020 To 2022,Drought,Other,Other,36,Before 2020,Kenya,Ijara,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,130,Trade,30,Employment (Includes Public And Private Sectors),2,Lack Of Food And Water,Loss Of Livelihood,Environmental Challenges,Diarrhea,No Additional Challenge,No Additional Challenge,2,10,10,75,75,Yes,86,2,Weather
698,2022-09-10,Garissa,Ijara,Village,500,300,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,400,2020 To 2022,Drought,Other,Resource-Based Conflict,50,2020 To 2022,Kenya,Lamu/East,Drought,Resource-Based Conflict,Other,250,Kenya,Ganze,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
699,2022-09-07,Garissa,Balambala,Village,340,5,2020 To 2022,Drought,Other,Resource-Based Conflict,25,2020 To 2022,Drought,Other,Resource-Based Conflict,200,2020 To 2022,Kenya,Balambala,Drought,Other,Resource-Based Conflict,20,Other,Other,Other,Other,Pastoralism,537,Trade,9,Employment (Includes Public And Private Sectors),5,Environmental Challenges,Safety And Security,Lack Of Food And Water,Malaria,No Additional Challenge,No Additional Challenge,1,38,50,75,50,No,5,11,Weather
700,2022-09-06,Garissa,Balambala,Village,140,400,2020 To 2022,Drought,Other,Resource-Based Conflict,100,2020 To 2022,Drought,Other,Resource-Based Conflict,170,2020 To 2022,Kenya,Balambala,Drought,Other,Resource-Based Conflict,100,Kenya,Balambala,Drought,Other,Pastoralism,31,Trade,20,Employment (Includes Public And Private Sectors),25,Lack Of Food And Water,No Additional Challenge,No Additional Challenge,Other,No Additional Challenge,No Additional Challenge,1,10,10,75,50,Yes,12,4,Lack Of Basic Services Water Electricity Etc
701,2022-09-08,Garissa,Balambala,Village,260,237,2020 To 2022,Drought,Resource-Based Conflict,Other,200,2020 To 2022,Drought,Resource-Based Conflict,Other,142,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,57,Kenya,Lagdera,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
702,2022-09-10,Garissa,Fafi,Village,450,120,2020 To 2022,Drought,Resource-Based Conflict,Other,50,2020 To 2022,Drought,Resource-Based Conflict,Other,200,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,100,Kenya,Fafi,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
703,2022-09-10,Garissa,Ijara,Village,600,500,2020 To 2022,Drought,Resource-Based Conflict,Other,500,2020 To 2022,Drought,Other,Resource-Based Conflict,200,2020 To 2022,Kenya,Bura,Drought,Resource-Based Conflict,Other,300,Kenya,Garissa/Township,Drought,Resource-Based Conflict,Other,363,Pastoralism,83,Trade,26,Environmental Challenges,Loss Of Livelihood,Resource Based Conflict,Malaria,Diarrhea,Pneumonia,2,10,10,75,75,Yes,200,10,Lack Of Basic Services Water Electricity Etc
704,2022-09-10,Garissa,Dadaab,Village,125,27,2020 To 2022,Drought,Resource-Based Conflict,Other,73,2020 To 2022,Drought,Resource-Based Conflict,Other,25,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
705,2022-09-10,Garissa,Ijara,Village,100,6,2020 To 2022,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,0,Other,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Trade,500,Agro Pastoralism,150,Other,400,Lack Of Food And Water,No Additional Challenge,No Additional Challenge,Diarrhea,No Additional Challenge,No Additional Challenge,2,10,10,75,75,Yes,800,30,Land And Property Issues
706,2022-09-10,Garissa,Ijara,Village,170,150,2020 To 2022,Drought,Other,Other,300,2020 To 2022,Drought,Other,Other,100,2020 To 2022,Kenya,Ijara,Drought,Other,Other,30,Kenya,Ijara,Drought,Other,Other,2000,Trade,500,Employment (Includes Public And Private Sectors),20,Safety And Security,Ethnic Conflicts,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,5,26,10,25,25,Yes,150,50,Weather
707,2022-09-10,Garissa,Fafi,Village,150,25,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,15,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,30,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,7,Kenya,Ijara,Drought,Resource-Based Conflict,Pastoralism,821,Other,465,Trade,112,Environmental Challenges,Loss Of Livelihood,Lack Of Food And Water,Malaria,Diarrhea,Typhoid,2,50,38,75,75,Yes,750,25,Lack Of Basic Services Water Electricity Etc
708,2022-09-10,Garissa,Fafi,Village,200,20,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,10,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,40,2020 To 2022,Kenya,Eldas,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,10,Kenya,Fafi,Drought,Flash Floods Or Seasonal Floods,Pastoralism,200,Farming,180,Trade,5,Lack Of Food And Water,Safety And Security,Loss Of Livelihood,Typhoid,Malaria,Amoeba,1,50,10,75,75,Yes,120,0,Weather
709,2022-09-08,Garissa,Garissa Township,Village,340,0,Other,Other,Other,Other,208,2020 To 2022,Drought,Resource-Based Conflict,Other,53,2020 To 2022,Kenya,Balambala,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
710,2022-09-08,Garissa,Garissa Township,Village,298,0,Other,Other,Other,Other,171,2020 To 2022,Drought,Resource-Based Conflict,Other,51,2020 To 2022,Kenya,Balambala,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
711,2022-09-10,Garissa,Garissa Township,Town In Urban,210,0,Other,Other,Other,Other,90,2020 To 2022,Drought,Resource-Based Conflict,Other,10,2020 To 2022,Kenya,Wajir/South,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
712,2022-09-10,Garissa,Dadaab,Village,80,10,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,30,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,10,2020 To 2022,Kenya,Lagdera,Resource-Based Conflict,Drought,Flash Floods Or Seasonal Floods,15,Kenya,Wajir/South,Drought,Resource-Based Conflict,Pastoralism,200,Farming,100,Trade,100,Environmental Challenges,No Additional Challenge,No Additional Challenge,Malaria,Tuberculosis,No Additional Challenge,2,26,26,100,100,Yes,270,20,Weather
713,2022-09-10,Garissa,Dadaab,Village,105,27,2020 To 2022,Drought,Resource-Based Conflict,Other,53,2020 To 2022,Drought,Resource-Based Conflict,Other,25,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,600,Trade,23,Other,29,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Acute Malnutrition,4,50,50,50,50,Yes,370,51,Lack Of Basic Services Water Electricity Etc
714,2022-09-10,Garissa,Lagdera,Village,350,50,2020 To 2022,Drought,Resource-Based Conflict,Other,120,2020 To 2022,Drought,Resource-Based Conflict,Other,30,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,20,Kenya,Lagdera,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
715,2022-09-10,Garissa,Dadaab,Village,200,50,2020 To 2022,Drought,Fires,Flash Floods Or Seasonal Floods,100,2020 To 2022,Drought,Flash Floods Or Seasonal Floods,Fires,0,Other,Other,Other,Other,Other,Other,50,Kenya,Fafi,Drought,Fires,Pastoralism,850,Farming,60,Trade,100,Lack Of Food And Water,Loss Of Livelihood,Lack Of Access To Essential Services,Acute Malnutrition,Other,No Additional Challenge,1,50,50,50,50,Yes,7,5,Lack Of Basic Services Water Electricity Etc
716,2022-09-10,Garissa,Dadaab,Village,280,45,2020 To 2022,Drought,Resource-Based Conflict,Fires,70,2020 To 2022,Drought,Resource-Based Conflict,Other,80,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,90,Kenya,Wajir/South,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
717,2022-09-10,Garissa,Dadaab,Village,800,500,2020 To 2022,Drought,Other,Resource-Based Conflict,150,2020 To 2022,Drought,Other,Resource-Based Conflict,0,Other,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Trade,900,Other,600,Farming,260,Other,No Additional Challenge,No Additional Challenge,Malaria,Other,No Additional Challenge,1,10,10,75,75,Yes,1540,120,Lack Of Security
718,2022-09-10,Garissa,Lagdera,Village,300,50,2020 To 2022,Drought,Resource-Based Conflict,Other,80,2020 To 2022,Drought,Resource-Based Conflict,Other,10,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,50,Kenya,Dadaab,Drought,Resource-Based Conflict,Pastoralism,750,Other,360,Trade,80,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Typhoid,2,50,50,50,25,Yes,86,5,Weather
719,2022-09-10,Garissa,Lagdera,Village,300,50,2020 To 2022,Drought,Resource-Based Conflict,Other,100,2020 To 2022,Drought,Resource-Based Conflict,Other,20,2020 To 2022,Kenya,Dadaab,Drought,Resource-Based Conflict,Other,30,Kenya,Dadaab,Drought,Resource-Based Conflict,Pastoralism,1500,Trade,250,Employment (Includes Public And Private Sectors),100,Environmental Challenges,Safety And Security,Resource Based Conflict,Diarrhea,Reproductive Complication,No Additional Challenge,3,10,10,75,75,Yes,1500,150,Lack Of Basic Services Water Electricity Etc
720,2022-09-10,Garissa,Garissa Township,Village,350,0,Other,Other,Other,Other,80,2020 To 2022,Drought,Other,Drought,0,Other,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,100,Trade,10,Employment (Includes Public And Private Sectors),10,Lack Of Food And Water,Loss Of Livelihood,Lack Of Access To Essential Services,Malaria,Typhoid,Measles,1,50,50,100,100,Yes,165,20,Lack Of Basic Services Water Electricity Etc
721,2022-09-11,Garissa,Lagdera,Village,300,20,2020 To 2022,Drought,Resource-Based Conflict,Other,10,2020 To 2022,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Pastoralism,400,Trade,64,Other,400,Lack Of Food And Water,Loss Of Livelihood,No Additional Challenge,Malaria,Pneumonia,Diarrhea,0,50,50,50,50,Yes,250,10,Lack Of Privacy
722,2022-09-08,Garissa,Balambala,Village,200,30,2020 To 2022,Drought,Resource-Based Conflict,Other,180,2020 To 2022,Drought,Resource-Based Conflict,Other,80,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,30,Kenya,Lagdera,Drought,Resource-Based Conflict,Farming,1750,Pastoralism,500,Trade,33,Safety And Security,Lack Of Food And Water,Resource Based Conflict,Malaria,Tuberculosis,Diarrhea,3,50,50,50,50,Yes,288,6,Weather
723,2022-09-09,Garissa,Balambala,Village,1900,0,Other,Other,Other,Other,672,2020 To 2022,Drought,Resource-Based Conflict,Other,400,2020 To 2022,Other,Other,Other,Other,Other,60,Other,Other,Other,Other,Pastoralism,1850,Trade,50,Other,0,Lack Of Food And Water,Loss Of Livelihood,No Additional Challenge,Malaria,Pneumonia,Diarrhea,2,50,50,50,50,Yes,400,10,Lack Of Privacy
724,2022-09-11,Garissa,Ijara,Village,400,10,2020 To 2022,Drought,Resource-Based Conflict,Other,1000,2020 To 2022,Drought,Resource-Based Conflict,Other,100,2020 To 2022,Kenya,Lamu/West,Drought,Resource-Based Conflict,Other,150,Kenya,Lamu/West,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
725,2022-09-07,Garissa,Balambala,Village,1050,400,2020 To 2022,Drought,Other,Resource-Based Conflict,450,2020 To 2022,Drought,Other,Resource-Based Conflict,200,2020 To 2022,Kenya,Wajir/South,Drought,Other,Resource-Based Conflict,120,Kenya,Isiolo/South,Drought,Other,Pastoralism,31,Trade,20,Employment (Includes Public And Private Sectors),25,Lack Of Food And Water,No Additional Challenge,No Additional Challenge,Other,No Additional Challenge,No Additional Challenge,1,10,10,75,50,Yes,12,4,Lack Of Basic Services Water Electricity Etc
726,2022-09-07,Garissa,Balambala,Village,40,8,2020 To 2022,Drought,Other,Resource-Based Conflict,10,2020 To 2022,Drought,Other,Resource-Based Conflict,20,2020 To 2022,Kenya,Balambala,Drought,Other,Resource-Based Conflict,10,Other,Other,Other,Other,Pastoralism,537,Trade,9,Employment (Includes Public And Private Sectors),5,Environmental Challenges,Safety And Security,Lack Of Food And Water,Malaria,No Additional Challenge,No Additional Challenge,1,38,50,75,50,No,5,11,Weather
727,2022-09-10,Garissa,Garissa Township,Village,347,0,Other,Other,Other,Other,0,Other,Other,Other,Other,22,2020 To 2022,Kenya,Balambala,Drought,Other,Resource-Based Conflict,0,Other,Other,Other,Other,Pastoralism,500,Trade,60,Other,0,Lack Of Food And Water,Other,No Additional Challenge,Acute Malnutrition,No Additional Challenge,No Additional Challenge,1,50,26,75,75,Yes,650,0,Weather
728,2022-09-11,Garissa,Garissa Township,Village,306,0,Other,Other,Other,Other,0,Other,Other,Other,Other,10,2020 To 2022,Kenya,Fafi,Drought,Other,Resource-Based Conflict,0,Other,Other,Other,Other,Pastoralism,500,Trade,60,Other,0,Lack Of Food And Water,Other,No Additional Challenge,Acute Malnutrition,No Additional Challenge,No Additional Challenge,1,50,26,75,75,Yes,650,0,Weather
729,2022-09-11,Garissa,Ijara,Village,283,600,2020 To 2022,Drought,Other,Resource-Based Conflict,200,2020 To 2022,Drought,Resource-Based Conflict,Other,200,2020 To 2022,Kenya,Fafi,Drought,Resource-Based Conflict,Other,200,Kenya,Lamu/West,Drought,Resource-Based Conflict,Pastoralism,300,Trade,50,Farming,30,Lack Of Food And Water,Environmental Challenges,Loss Of Livelihood,Malaria,Typhoid,Diarrhea,1,38,38,50,75,Yes,400,50,Lack Of Basic Services Water Electricity Etc
730,2022-09-11,Garissa,Ijara,Village,250,6,2020 To 2022,Drought,Other,Other,7,2020 To 2022,Drought,Other,Other,0,Other,Other,Other,Other,Other,Other,0,Other,Other,Other,Other,Trade,900,Other,600,Farming,260,Other,No Additional Challenge,No Additional Challenge,Malaria,Other,No Additional Challenge,1,10,10,75,75,Yes,1540,120,Lack Of Security
731,2022-09-11,Garissa,Fafi,Village,200,100,2020 To 2022,Drought,Resource-Based Conflict,Other,70,2020 To 2022,Drought,Resource-Based Conflict,Other,500,2020 To 2022,Kenya,Balambala,Drought,Resource-Based Conflict,Other,50,Kenya,Fafi,Drought,Resource-Based Conflict,Pastoralism,400,Other,200,Trade,5,Safety And Security,Resource Based Conflict,Lack Of Food And Water,Malaria,Pneumonia,Diarrhea,2,50,38,25,25,No,0,0,Weather
732,2022-09-11,Garissa,Ijara,Village,40,0,Other,Other,Other,Other,50,2020 To 2022,Drought,Other,Other,20,2020 To 2022,Kenya,Ijara,Drought,Other,Other,10,Kenya,Ijara,Drought,Other,Pastoralism,330,Trade,6,Employment (Includes Public And Private Sectors),6,Environmental Challenges,Lack Of Food And Water,Loss Of Livelihood,Malaria,No Additional Challenge,No Additional Challenge,0,38,10,50,50,Yes,223,3,Weather
733,2022-09-11,Garissa,Garissa Township,Village,300,0,Other,Other,Other,Other,100,2020 To 2022,Drought,Drought,Other,20,2020 To 2022,Kenya,Wajir/South,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,700,Trade,200,Employment (Includes Public And Private Sectors),30,Environmental Challenges,Lack Of Food And Water,Resource Based Conflict,Malaria,No Additional Challenge,No Additional Challenge,1,38,10,100,100,Yes,600,60,Lack Of Basic Services Water Electricity Etc
734,2022-09-11,Garissa,Fafi,Village,150,25,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,15,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,10,2020 To 2022,Kenya,Balambala,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,12,Kenya,Ijara,Drought,Resource-Based Conflict,Pastoralism,750,Other,360,Trade,80,Environmental Challenges,Resource Based Conflict,Lack Of Food And Water,Malaria,Diarrhea,Typhoid,2,50,50,50,25,Yes,86,5,Weather
735,2022-09-11,Garissa,Dadaab,Village,800,200,2020 To 2022,Drought,Other,Resource-Based Conflict,30,2020 To 2022,Drought,Other,Drought,100,2020 To 2022,Kenya,Wajir/South,Drought,Other,Resource-Based Conflict,200,Kenya,Wajir/South,Drought,Other,Pastoralism,1700,Trade,300,Employment (Includes Public And Private Sectors),500,Environmental Challenges,Lack Of Food And Water,No Additional Challenge,Malaria,Pneumonia,Typhoid,2,38,10,50,50,Yes,266,13,Lack Of Basic Services Water Electricity Etc
736,2022-09-11,Garissa,Fafi,Village,110,20,2020 To 2022,Resource-Based Conflict,Drought,Flash Floods Or Seasonal Floods,15,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,30,2020 To 2022,Kenya,Lagdera,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,10,Kenya,Ijara,Flash Floods Or Seasonal Floods,Resource-Based Conflict,Pastoralism,900,Trade,300,Employment (Includes Public And Private Sectors),50,Lack Of Food And Water,Lack Of Access To Essential Services,No Additional Challenge,Pneumonia,Malaria,Diarrhea,1,38,26,50,25,Yes,3900,50,Lack Of Basic Services Water Electricity Etc
737,2022-09-11,Garissa,Fafi,Village,130,10,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,20,2020 To 2022,Drought,Resource-Based Conflict,Flash Floods Or Seasonal Floods,20,2020 To 2022,Kenya,Ijara,Drought,Flash Floods Or Seasonal Floods,Resource-Based Conflict,10,Kenya,Ijara,Flash Floods Or Seasonal Floods,Resource-Based Conflict,Pastoralism,750,Other,40,Employment (Includes Public And Private Sectors),10,Resource Based Conflict,Lack Of Food And Water,Environmental Challenges,Typhoid,Malaria,Diarrhea,12,50,50,25,25,No,115,100,Weather
738,2022-09-11,Garissa,Dadaab,Village,195,58,2020 To 2022,Drought,Resource-Based Conflict,Other,100,2020 To 2022,Drought,Resource-Based Conflict,Other,37,2020 To 2022,Kenya,Lagdera,Drought,Resource-Based Conflict,Other,0,Other,Other,Other,Other,Pastoralism,1500,Trade,250,Employment (Includes Public And Private Sectors),100,Environmental Challenges,Safety And Security,Resource Based Conflict,Diarrhea,Reproductive Complication,No Additional Challenge,3,10,10,75,75,Yes,1500,150,Lack Of Basic Services Water Electricity Etc
